,Estado,Año,PIB en miles de pesos,Total gasto público en salud,Subtotal no asegurados,Gasto administrativo SSA,Aportaciones federales,Gasto estatal en salud,Subtotal asegurados,IMSS,ISSSTE,Cuotas de recuperación,Primas de seguros médicos,Total gasto en salud % PIB,Total gasto en salud % gasto público,Gasto en salud asegurados per cápita,Gasto en salud no asegurados per cápita,Total gasto en salud per cápita,Aportación federal % no asegurados
237,Colima,2007-01-01,89857343.51,2967556.22,1262846.26,478087.73,766895.85,17862.67,1704709.96,1463674.33,241035.63,14198.13,49321.3,3.3,13.8,4988.53,4585.16,4808.51,98.6
238,Chiapas,2007-01-01,294263651.96,12110744.11,8976762.54,4301418.5,3027933.43,366396.96,3133981.57,2436613.68,597707.67,83637.55,93875.48,4.1,20.6,3741.84,2331.34,2583.35,95.9
239,Chihuahua,2007-01-01,516547666.16,14875149.81,5239712.89,1466114.78,1784538.14,1596883.02,9635436.92,8836843.45,698172.7,77586.68,1215680.73,2.9,25.9,4521.53,4206.81,4405.44,69.5
240,Distrito Federal,2007-01-01,2860599716.2,97536363.38,22983147.36,13142635.9,3212354.78,6449637.21,74553216.01,45490258.81,25907518.38,39785.75,17079085.97,3.4,9.0,14957.67,5761.38,10869.44,71.9
241,Durango,2007-01-01,181899544.02,6247791.09,2650907.51,692910.59,1547580.3,48150.03,3596883.58,2945314.28,570382.99,97194.28,107600.65,3.4,17.9,4303.1,3444.83,3891.69,98.2
242,Guanajuato,2007-01-01,564459107.61,17088265.9,8876942.46,5675148.45,2230587.86,971206.15,8211323.44,6848068.98,824653.6,162997.08,483601.88,3.0,27.2,3787.42,2766.28,3178.01,89.1
243,Guerrero,2007-01-01,235924314.18,9513605.31,5731709.77,2324353.99,3036766.65,370589.13,3781895.54,2957372.36,824523.18,162933.21,79876.16,4.0,16.4,4699.2,2252.11,2840.01,93.5
244,Hidalgo,2007-01-01,230622894.59,7690525.04,4502378.81,1806114.32,2027650.25,116015.05,3188146.23,2401038.21,448980.91,244061.88,98478.31,3.3,16.1,3948.47,2561.38,2997.99,97.4
245,Jalisco,2007-01-01,1047965848.75,26052755.03,10046820.0,3116567.99,3809002.45,3121249.56,16005935.03,14868742.09,1012399.78,89545.68,2551803.24,2.5,32.3,4379.42,2914.79,3668.55,68.9
246,México,2007-01-01,1350481361.97,37993365.55,21801960.15,9612368.53,7172636.7,5016954.92,16191405.4,15477879.8,656094.49,498270.85,1985032.59,2.8,31.8,2413.71,2705.89,2573.16,77.0
247,Michoacán de Ocampo,2007-01-01,364858754.03,10606926.38,5660224.16,1984952.81,2622294.67,451438.99,4946702.23,3985980.35,880334.73,304006.47,217607.56,2.9,22.6,3967.69,1859.77,2472.33,92.0
248,Morelos,2007-01-01,199605848.17,6299220.24,2928854.06,1565013.89,1099557.2,264282.96,3370366.19,2812665.15,471383.18,53709.52,254995.51,3.2,27.1,4973.91,2789.61,3646.39,91.0
249,Nayarit,2007-01-01,104695130.1,4264982.2,2082282.93,783695.52,961729.88,169558.05,2182699.27,1843626.83,339072.44,36118.54,42670.9,4.1,23.9,4540.81,3750.43,4117.18,91.9
250,Nuevo León,2007-01-01,1207794942.01,18431901.59,3339605.68,1196049.27,1857394.64,286161.78,15092295.91,13703211.41,878099.76,150459.21,5637051.03,1.5,27.7,4839.53,2440.06,4107.66,91.4
251,Oaxaca,2007-01-01,257885706.59,10586568.14,7350615.01,3132200.53,3012491.55,72407.15,3235953.12,2115925.74,741191.03,67036.9,49889.75,4.1,19.2,3814.3,2512.86,2805.45,99.0
252,Puebla,2007-01-01,528570339.17,14870371.02,7643974.0,4188110.65,2377900.06,336124.91,7226397.02,6279138.74,766122.84,135384.53,552540.51,2.8,27.5,4487.78,1891.7,2631.44,95.6
253,Querétaro de Arteaga,2007-01-01,308081503.21,5175030.95,2042185.14,680995.72,1269379.81,91809.61,3132845.82,2749712.73,286196.24,1323018.33,502231.31,1.7,19.8,3502.88,2395.14,2962.25,95.5
